                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.3158,                0.76094,                 1.2521,                0.90117,                0.73333,                0.80203,                  0.378,                 1.7524,                 0.7848,                 1.3082,               0.001109,               0.001109,               0.001109
                    137,                 1.3485,                0.76901,                 1.2768,                0.85357,                0.77728,                0.79091,                0.41557,                 1.5622,                0.80706,                 1.2105,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.3009,                0.78248,                 1.1947,                0.85087,                0.76667,                0.80643,                0.37942,                 1.7927,                0.93887,                 1.2834,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.2585,                0.72804,                 1.1901,                0.83622,                0.78333,                0.80464,                0.40158,                 1.7337,                0.82748,                 1.2397,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.2698,                0.73643,                 1.1707,                 0.9145,                    0.7,                0.81285,                0.40476,                 1.5111,                0.83466,                  1.187,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.2985,                0.74307,                 1.1974,                0.92275,                0.76667,                0.81082,                 0.3971,                 1.6542,                0.80411,                 1.2381,               0.001076,               0.001076,               0.001076
                    142,                 1.2637,                0.69932,                 1.2364,                0.94068,                0.73333,                0.78535,                0.41774,                 1.5963,                0.77866,                 1.2281,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.2805,                0.72124,                 1.1921,                 0.8494,                0.75204,                0.81401,                0.39337,                 1.5354,                0.92327,                 1.2175,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.2572,                0.74047,                  1.214,                0.84601,                0.78333,                0.81269,                0.41277,                 1.6712,                0.74382,                 1.2527,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.2883,                0.73614,                 1.2023,                0.84736,                    0.8,                0.82756,                0.40651,                 1.7499,                0.83238,                 1.3047,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.2961,                0.75252,                 1.2495,                0.91954,                0.76199,                 0.8183,                0.38072,                 1.6692,                0.78728,                 1.2891,               0.001043,               0.001043,               0.001043
                    147,                 1.3179,                0.79648,                 1.2085,                0.90045,                0.73333,                 0.7804,                0.39064,                 1.5861,                0.80363,                 1.2468,              0.0010364,              0.0010364,              0.0010364
                    148,                 1.2843,                0.74318,                 1.2279,                0.87381,                0.83333,                0.84978,                0.41041,                 1.6622,                0.73874,                 1.2177,              0.0010298,              0.0010298,              0.0010298
